Time	Open	High	Low	Close	Volume
2020-09-25 17:00:00	1.27024	1.27027	1.26943	1.27005	1089
2020-09-25 17:05:00	1.27004	1.27046	1.26995	1.27034	373
2020-09-25 17:10:00	1.27037	1.27045	1.27012	1.27033	815
2020-09-25 17:15:00	1.27033	1.27107	1.2703	1.27107	425
2020-09-25 17:20:00	1.2711	1.27129	1.27063	1.27087	601
2020-09-25 17:25:00	1.27086	1.27086	1.27035	1.27053	419
2020-09-25 17:30:00	1.27054	1.27098	1.27047	1.27069	434
2020-09-25 17:35:00	1.27067	1.27086	1.27063	1.27063	492
2020-09-25 17:40:00	1.27064	1.27134	1.27064	1.27128	485
2020-09-25 17:45:00	1.27127	1.27162	1.27127	1.27154	457
2020-09-25 17:50:00	1.27154	1.27178	1.27141	1.27165	246
2020-09-25 17:55:00	1.27165	1.27184	1.27143	1.27176	349
2020-09-25 18:00:00	1.27176	1.27225	1.27175	1.27201	760
2020-09-25 18:05:00	1.27201	1.27214	1.27186	1.27206	673
2020-09-25 18:10:00	1.27204	1.27214	1.27193	1.27195	568
2020-09-25 18:15:00	1.27195	1.27244	1.27193	1.27225	708
2020-09-25 18:20:00	1.27225	1.27294	1.27221	1.27245	566
2020-09-25 18:25:00	1.27245	1.27335	1.27245	1.27306	894
2020-09-25 18:30:00	1.27306	1.27307	1.27262	1.27264	336
2020-09-25 18:35:00	1.27271	1.27273	1.27219	1.27236	837
2020-09-25 18:40:00	1.27235	1.27249	1.27185	1.27245	331
2020-09-25 18:45:00	1.27246	1.27268	1.27237	1.27246	239
2020-09-25 18:50:00	1.27245	1.27274	1.27244	1.27273	192
2020-09-25 18:55:00	1.27272	1.27353	1.27264	1.27296	974
2020-09-25 19:00:00	1.27296	1.27357	1.27293	1.27334	635
2020-09-25 19:05:00	1.27335	1.27418	1.27326	1.27413	543
2020-09-25 19:10:00	1.27412	1.27439	1.27404	1.27408	658
2020-09-25 19:15:00	1.27406	1.27475	1.27406	1.27444	473
2020-09-25 19:20:00	1.27445	1.27449	1.27394	1.2743	1008
2020-09-25 19:25:00	1.27431	1.27452	1.27412	1.27429	621
2020-09-25 19:30:00	1.27428	1.27445	1.27369	1.27371	905
2020-09-25 19:35:00	1.2737	1.27411	1.27358	1.27387	674
2020-09-25 19:40:00	1.2739	1.27424	1.2739	1.27423	552
2020-09-25 19:45:00	1.27428	1.27442	1.27412	1.27419	763
2020-09-25 19:50:00	1.2742	1.27468	1.27399	1.27462	638
2020-09-25 19:55:00	1.2746	1.27471	1.27437	1.27471	809
2020-09-25 20:00:00	1.27471	1.2749	1.27451	1.27481	639
2020-09-25 20:05:00	1.2748	1.27499	1.2748	1.27492	411
2020-09-25 20:10:00	1.2749	1.27492	1.2743	1.27443	561
2020-09-25 20:15:00	1.27442	1.27453	1.27431	1.27447	313
2020-09-25 20:20:00	1.27447	1.27447	1.27403	1.27428	388
2020-09-25 20:25:00	1.27427	1.27447	1.27403	1.27403	372
2020-09-25 20:30:00	1.27404	1.27412	1.27399	1.27407	270
2020-09-25 20:35:00	1.27408	1.27442	1.27405	1.27436	191
2020-09-25 20:40:00	1.27435	1.27464	1.27425	1.27426	299
2020-09-25 20:45:00	1.27426	1.27437	1.27415	1.27423	227
2020-09-25 20:50:00	1.27417	1.2743	1.27403	1.27419	428
2020-09-25 20:55:00	1.27419	1.27428	1.27395	1.27395	805
2020-09-27 21:00:00	1.27617	1.27617	1.27556	1.27556	8
2020-09-27 21:05:00	1.27552	1.27561	1.27541	1.27557	17
2020-09-27 21:10:00	1.27569	1.2758	1.27548	1.27568	39
2020-09-27 21:15:00	1.27564	1.27634	1.27547	1.27634	63
2020-09-27 21:20:00	1.27631	1.27634	1.27588	1.27609	56
2020-09-27 21:25:00	1.27618	1.2767	1.27618	1.2767	54
2020-09-27 21:30:00	1.27667	1.27692	1.27657	1.27676	45
2020-09-27 21:35:00	1.27674	1.27692	1.27653	1.27659	44
2020-09-27 21:40:00	1.27657	1.2767	1.27601	1.27627	47
2020-09-27 21:45:00	1.27626	1.2764	1.27536	1.27598	94
2020-09-27 21:50:00	1.27597	1.27599	1.27591	1.27596	46
2020-09-27 21:55:00	1.27597	1.27598	1.27596	1.27597	23
2020-09-27 22:00:00	1.27605	1.27623	1.2759	1.27618	113
2020-09-27 22:05:00	1.27616	1.27629	1.27608	1.27611	8
2020-09-27 22:10:00	1.27608	1.27719	1.27606	1.27692	374
2020-09-27 22:15:00	1.2769	1.2769	1.2763	1.27654	268
2020-09-27 22:20:00	1.27652	1.27685	1.27652	1.27663	51
2020-09-27 22:25:00	1.27666	1.27677	1.27657	1.27662	52
2020-09-27 22:30:00	1.27652	1.27656	1.27628	1.27636	182
2020-09-27 22:35:00	1.27634	1.27635	1.27601	1.27622	276
2020-09-27 22:40:00	1.27622	1.27623	1.27595	1.27598	387
2020-09-27 22:45:00	1.27594	1.27601	1.2756	1.2756	209
2020-09-27 22:50:00	1.27561	1.27592	1.27561	1.27591	399
2020-09-27 22:55:00	1.27596	1.2761	1.27571	1.27576	368
2020-09-27 23:00:00	1.27583	1.27591	1.27562	1.27562	581
2020-09-27 23:05:00	1.27566	1.27573	1.27536	1.27566	381
2020-09-27 23:10:00	1.27566	1.27592	1.27565	1.27566	328
2020-09-27 23:15:00	1.27565	1.27594	1.27564	1.27594	395
2020-09-27 23:20:00	1.27593	1.2761	1.2758	1.27602	256
2020-09-27 23:25:00	1.27603	1.27612	1.27594	1.27598	315
2020-09-27 23:30:00	1.27598	1.27598	1.27578	1.27592	236
2020-09-27 23:35:00	1.27592	1.27624	1.27592	1.27615	96
2020-09-27 23:40:00	1.27613	1.27623	1.27608	1.27622	76
2020-09-27 23:45:00	1.27622	1.27645	1.27621	1.27643	51
2020-09-27 23:50:00	1.27644	1.27645	1.2764	1.27644	63
2020-09-27 23:55:00	1.27643	1.27665	1.27638	1.2764	70
2020-09-28 00:00:00	1.2764	1.27645	1.27564	1.27584	374
2020-09-28 00:05:00	1.27583	1.27588	1.27557	1.27567	356
2020-09-28 00:10:00	1.27569	1.27659	1.2753	1.27568	1339
2020-09-28 00:15:00	1.27569	1.27618	1.27563	1.27586	765
2020-09-28 00:20:00	1.27585	1.27624	1.27567	1.2761	576
2020-09-28 00:25:00	1.2761	1.27685	1.27608	1.2767	551
2020-09-28 00:30:00	1.2767	1.27674	1.27639	1.27653	535
2020-09-28 00:35:00	1.27655	1.27672	1.27629	1.27668	464
2020-09-28 00:40:00	1.27668	1.27676	1.27652	1.27657	495
2020-09-28 00:45:00	1.27657	1.27664	1.27614	1.27617	471
2020-09-28 00:50:00	1.27619	1.27632	1.27556	1.27574	841
2020-09-28 00:55:00	1.27574	1.27591	1.27508	1.27519	719
2020-09-28 01:00:00	1.27519	1.27571	1.27519	1.27557	452
2020-09-28 01:05:00	1.27557	1.27615	1.27555	1.27586	461
2020-09-28 01:10:00	1.27587	1.27601	1.27575	1.27581	372
2020-09-28 01:15:00	1.27583	1.27625	1.27583	1.27622	341
2020-09-28 01:20:00	1.27621	1.27633	1.27598	1.27606	492
2020-09-28 01:25:00	1.27606	1.27633	1.27596	1.27628	484
2020-09-28 01:30:00	1.27627	1.27664	1.27623	1.27636	523
2020-09-28 01:35:00	1.27635	1.27644	1.27619	1.27626	638
2020-09-28 01:40:00	1.27626	1.27637	1.2761	1.27619	611
2020-09-28 01:45:00	1.27618	1.27644	1.27617	1.27622	711
2020-09-28 01:50:00	1.27622	1.27659	1.27619	1.27641	808
2020-09-28 01:55:00	1.2764	1.27658	1.2761	1.27652	664
2020-09-28 02:00:00	1.27651	1.27659	1.27639	1.27653	702
2020-09-28 02:05:00	1.27654	1.27672	1.27654	1.27659	403
2020-09-28 02:10:00	1.27659	1.27696	1.27658	1.27691	346
2020-09-28 02:15:00	1.27691	1.27691	1.27673	1.27674	226
2020-09-28 02:20:00	1.27674	1.27717	1.27674	1.27693	266
